id,discord_id,amount,type,description,related_user_id,created_at,guild_id
1,1422323774224732280,1000,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 03:55:58.507376,1476251181524189438
2,1422323774224732280,-1000,purchase,Legend purchase — Reggie White (DT),,2026-03-26 03:56:08.771942,1476251181524189438
3,723013697026654250,50,addcoins,H2H win vs Panthers (61–14),723013697026654250,2026-03-26 14:00:33.953268,1476251181524189438
4,1240155951571533924,20,addcoins,H2H loss vs Falcons (14–61),723013697026654250,2026-03-26 14:00:34.023225,1476251181524189438
5,723013697026654250,10,addcoins,Post-game interview payout,1422323774224732280,2026-03-26 14:07:47.707451,1476251181524189438
6,1349158444204298358,50,addcoins,H2H win vs Bears (41–27),1422323774224732280,2026-03-26 14:08:46.665676,1476251181524189438
7,950838319397351424,20,addcoins,H2H loss vs Jets (27–41),1422323774224732280,2026-03-26 14:08:46.731856,1476251181524189438
8,1422323774224732280,50,addcoins,H2H win vs Dolphins (48–33),1422323774224732280,2026-03-26 14:34:09.648143,1476251181524189438
9,971169521803087872,20,addcoins,H2H loss vs Bills (33–48),1422323774224732280,2026-03-26 14:34:09.721418,1476251181524189438
10,1037925434123358258,20,addcoins,CPU win payout vs Green Bay Packers,1422323774224732280,2026-03-26 15:29:49.040709,1476251181524189438
11,633137901558824960,50,addcoins,H2H win vs Chargers (42–35),1422323774224732280,2026-03-26 15:31:44.388422,1476251181524189438
12,954239175400488990,20,addcoins,H2H loss vs Patriots (35–42),1422323774224732280,2026-03-26 15:31:44.455963,1476251181524189438
1894,1422323774224732280,345,savings_deposit,Deposited 345 coins to global savings,,2026-04-19 16:51:39.402892,1476251181524189438
14,435637796204576779,20,addcoins,H2H loss vs Rams (42–45),1422323774224732280,2026-03-26 15:31:47.115138,1476251181524189438
15,633137901558824960,10,addcoins,Post-game interview payout,1422323774224732280,2026-03-26 16:11:56.771702,1476251181524189438
16,792819168461324290,-10,purchase,Attribute upgrade (Non-Core) ×1 — Deep Accuracy for Kyler Murray (QB),,2026-03-26 16:13:42.336721,1476251181524189438
17,1477612223663706185,-10,purchase,Attribute upgrade (Non-Core) ×1 — Catching for Jeremiah Beal (WR),,2026-03-26 16:16:33.447966,1476251181524189438
18,1477612223663706185,10,purchase_refund,Refund: attribute — Jeremiah Beal,1422323774224732280,2026-03-26 16:17:18.770088,1476251181524189438
19,792819168461324290,10,purchase_refund,Refund: attribute — Kyler Murray,1422323774224732280,2026-03-26 16:17:20.951138,1476251181524189438
20,792819168461324290,-10,purchase,Attribute upgrade (Non-Core) ×1 — Deep Accuracy for Kyler Murray (QB),,2026-03-26 16:17:36.891566,1476251181524189438
21,633137901558824960,-75,purchase,Attribute upgrade (Core) ×3 — Speed for A.J. Terrell JR (CB),,2026-03-26 16:19:39.140586,1476251181524189438
22,633137901558824960,-50,purchase,Attribute upgrade (Core) ×2 — Speed for Champ Bailey (CB),,2026-03-26 16:20:57.09654,1476251181524189438
23,792819168461324290,10,purchase_refund,Refund: attribute — Kyler Murray,1422323774224732280,2026-03-26 16:21:08.156953,1476251181524189438
24,1477612223663706185,-10,purchase,Attribute upgrade (Non-Core) ×1 — Catching for jeremiah Beal (WR),,2026-03-26 16:22:02.308354,1476251181524189438
25,792819168461324290,-50,purchase,Attribute upgrade (Non-Core) ×5 — Deep Accuracy for kylermurray (QB),,2026-03-26 16:22:14.90585,1476251181524189438
26,1477612223663706185,10,purchase_refund,Refund: attribute — jeremiah Beal,1422323774224732280,2026-03-26 16:22:43.316548,1476251181524189438
27,1477612223663706185,-10,purchase,Attribute upgrade (Non-Core) ×1 — Short Route Running for jeremiah Beal (WR),,2026-03-26 16:23:04.605842,1476251181524189438
28,1477612223663706185,-10,purchase,Attribute upgrade (Non-Core) ×1 — Release for Jeremiah Beal (WR),,2026-03-26 16:23:51.881349,1476251181524189438
29,1477612223663706185,10,purchase_refund,Refund: attribute — Jeremiah Beal,1422323774224732280,2026-03-26 16:24:31.076864,1476251181524189438
30,1477612223663706185,10,purchase_refund,Refund: attribute — jeremiah Beal,1422323774224732280,2026-03-26 16:24:54.321762,1476251181524189438
31,792819168461324290,-50,purchase,Attribute upgrade (Non-Core) ×5 — Throw Under Pressure for kyler murray (QB),,2026-03-26 16:27:37.058467,1476251181524189438
32,1477612223663706185,-60,purchase,Attribute upgrade (Non-Core) ×6 — Catching for Jeremiah Beal (WR),,2026-03-26 16:27:45.077782,1476251181524189438
33,741719191148691516,-125,purchase,Attribute upgrade (Core) ×5 — Acceleration for Kenneth Walker (HB),,2026-03-26 16:27:46.073744,1476251181524189438
34,954239175400488990,150,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 16:27:56.864571,1476251181524189438
35,633137901558824960,150,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 16:28:39.147909,1476251181524189438
36,741719191148691516,-125,purchase,Attribute upgrade (Core) ×5 — Change of Direction for Kenneth Walker (HB),,2026-03-26 16:28:43.80171,1476251181524189438
37,954239175400488990,100,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 16:28:46.905787,1476251181524189438
38,792819168461324290,-75,purchase,Attribute upgrade (Core) ×3 — Speed for terry mclaurin (WR),,2026-03-26 16:28:47.568111,1476251181524189438
39,971169521803087872,250,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 16:28:54.496117,1476251181524189438
40,1477612223663706185,-10,purchase,Attribute upgrade (Non-Core) ×1 — Short Route Running for Jeremiah Beal (WR),,2026-03-26 16:29:29.127738,1476251181524189438
41,792819168461324290,-30,purchase,Attribute upgrade (Non-Core) ×3 — Short Accuracy for kyler murray (QB),,2026-03-26 16:29:30.028862,1476251181524189438
42,1477612223663706185,-10,purchase,Attribute upgrade (Non-Core) ×1 — Release for Jeremiah Beal (WR),,2026-03-26 16:30:06.392143,1476251181524189438
43,792819168461324290,-20,purchase,Attribute upgrade (Non-Core) ×2 — Short Accuracy for kyler murray (QB),,2026-03-26 16:30:17.101978,1476251181524189438
44,741719191148691516,-100,purchase,Attribute upgrade (Non-Core) ×10 — Run Blocking for Cooper Bebe (C),,2026-03-26 16:30:57.075747,1476251181524189438
45,1477612223663706185,-40,purchase,Attribute upgrade (Non-Core) ×4 — Release for earl downey (WR),,2026-03-26 16:33:09.050001,1476251181524189438
1988,435637796204576779,5,addcoins,GOTW correct guess bonus — Week 7,auto,2026-04-20 20:24:51.495648,1476251181524189438
47,1146241207886950492,10,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 16:36:24.798687,1476251181524189438
48,954239175400488990,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:36:53.476816,1476251181524189438
49,1143701948915273839,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:37:23.145618,1476251181524189438
50,1037174918896439327,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:37:31.012866,1476251181524189438
51,1349158444204298358,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:37:47.753263,1476251181524189438
52,950838319397351424,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:37:52.984084,1476251181524189438
53,1422323774224732280,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:38:07.631397,1476251181524189438
54,971169521803087872,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:38:18.420721,1476251181524189438
55,1240155951571533924,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:38:30.238273,1476251181524189438
56,723013697026654250,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:38:36.120368,1476251181524189438
57,1361823949847007294,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:39:07.330492,1476251181524189438
58,838230365252485120,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 16:39:12.895585,1476251181524189438
59,633137901558824960,-100,purchase,Attribute upgrade (Core) ×4 — Speed for Carson Schwesinger (MLB),,2026-03-26 16:41:48.707085,1476251181524189438
60,838230365252485120,50,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 16:43:01.597674,1476251181524189438
61,633137901558824960,-50,purchase,Attribute upgrade (Core) ×2 — Speed for Sean Taylor (SS),,2026-03-26 16:44:30.403649,1476251181524189438
62,954239175400488990,-150,purchase,Attribute upgrade (Core) ×6 — Speed for Jackson (QB),,2026-03-26 16:44:45.244754,1476251181524189438
64,1146241207886950492,20,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 16:48:39.446682,1476251181524189438
65,954239175400488990,-50,purchase,Attribute upgrade (Non-Core) ×5 — Medium Accuracy for jackson (QB),,2026-03-26 16:52:33.278828,1476251181524189438
66,954239175400488990,-50,purchase,Attribute upgrade (Non-Core) ×5 — Deep Accuracy for jackson (QB),,2026-03-26 16:53:02.539861,1476251181524189438
68,1037925434123358258,10,addcoins,Player of the Week bonus — Week 3,1422323774224732280,2026-03-26 16:54:35.898056,1476251181524189438
69,741719191148691516,10,addcoins,Player of the Week bonus — Week 3,1422323774224732280,2026-03-26 16:54:36.408211,1476251181524189438
70,741719191148691516,10,addcoins,Player of the Week bonus — Week 3,1422323774224732280,2026-03-26 16:54:36.834709,1476251181524189438
71,954239175400488990,-30,purchase,Attribute upgrade (Non-Core) ×3 — Short Route Running for williams (WR),,2026-03-26 16:57:39.177163,1476251181524189438
1989,792819168461324290,5,addcoins,GOTW correct guess bonus — Week 7,auto,2026-04-20 20:24:52.032314,1476251181524189438
74,741719191148691516,-100,purchase,Attribute upgrade (Non-Core) ×10 — Pass Blocking for Cooper Beebee (C),,2026-03-26 17:08:41.150372,1476251181524189438
75,954239175400488990,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 17:14:35.363698,1476251181524189438
1990,1037925434123358258,5,addcoins,GOTW correct guess bonus — Week 7,auto,2026-04-20 20:24:52.573435,1476251181524189438
77,741719191148691516,40,addcoins,Commissioner added coins — highlights week 3,1422323774224732280,2026-03-26 18:10:10.041187,1476251181524189438
78,633137901558824960,40,addcoins,Commissioner added coins — 2 highlights from week 3,1422323774224732280,2026-03-26 18:10:55.632265,1476251181524189438
79,1349158444204298358,40,addcoins,Commissioner added coins — 5 highlights from week 3,1422323774224732280,2026-03-26 18:11:20.673046,1476251181524189438
80,954239175400488990,40,addcoins,Commissioner added coins — 2 highlights from week 3,1422323774224732280,2026-03-26 18:11:39.018808,1476251181524189438
81,435637796204576779,20,addcoins,CPU win payout vs Green Bay Packers,1422323774224732280,2026-03-26 18:12:14.447538,1476251181524189438
1991,1143701948915273839,5,addcoins,GOTW correct guess bonus — Week 7,auto,2026-04-20 20:24:53.076047,1476251181524189438
83,954239175400488990,20,addcoins,H2H loss vs Rams (20–77),1422323774224732280,2026-03-26 18:27:48.046108,1476251181524189438
1992,1240155951571533924,5,addcoins,GOTW correct guess bonus — Week 7,auto,2026-04-20 20:24:53.503279,1476251181524189438
1993,1349158444204298358,5,addcoins,GOTW correct guess bonus — Week 7,auto,2026-04-20 20:24:54.010504,1476251181524189438
1994,1422323774224732280,5,addcoins,GOTW correct guess bonus — Week 7,auto,2026-04-20 20:24:54.705191,1476251181524189438
87,633137901558824960,10,addcoins,Commissioner added coins,1422323774224732280,2026-03-26 19:42:42.439709,1476251181524189438
88,741719191148691516,10,addcoins,Commissioner added coins — stream,1422323774224732280,2026-03-26 19:42:53.249919,1476251181524189438
89,633137901558824960,10,addcoins,Commissioner added coins — GOTW member,1422323774224732280,2026-03-26 19:43:16.67358,1476251181524189438
90,741719191148691516,10,addcoins,Commissioner added coins — GOTW member,1422323774224732280,2026-03-26 19:43:22.418741,1476251181524189438
91,1422323774224732280,-10,removecoins,Wager #2 held: Patriots vs Broncos,1477612223663706185,2026-03-26 20:18:28.676482,1476251181524189438
92,1477612223663706185,-10,removecoins,Wager #2 held: Broncos vs Patriots,1422323774224732280,2026-03-26 20:18:28.746113,1476251181524189438
93,633137901558824960,5,addcoins,GOTW correct guess bonus — Week 4,1422323774224732280,2026-03-26 20:42:28.844591,1476251181524189438
94,741719191148691516,5,addcoins,GOTW correct guess bonus — Week 4,1422323774224732280,2026-03-26 20:42:29.264254,1476251181524189438
95,1422323774224732280,5,addcoins,GOTW correct guess bonus — Week 4,1422323774224732280,2026-03-26 20:42:29.763482,1476251181524189438
96,1349158444204298358,5,addcoins,GOTW correct guess bonus — Week 4,1422323774224732280,2026-03-26 20:42:30.179029,1476251181524189438
