id,season_id,team_id,full_name,nick_name,user_name,is_human,discord_id,updated_at,conference,logo_url,abbr_name,div_name,off_scheme,def_scheme,ovr_rating,primary_color,secondary_color,logo_id
5210,15,775553031,Arizona Cardinals,Cardinals,,f,,2026-05-20 17:36:28.034,,,AZ,NFC West,1,12,85,8847399,16777215,6
5199,15,775553027,Buffalo Bills,Bills,,f,,2026-05-20 17:36:28.022,,,BUF,AFC East,6,11,86,798338,13961738,2
5201,15,775553060,Minnesota Vikes,Vikes,AssnsAddiction,t,1143701948915273839,2026-05-20 17:36:28.031,,,MIN,NFC North,,14,87,5187203,16762415,30
5202,15,775553025,Chicago Bears,Bears,BakkEnReap,t,1477612223663706185,2026-05-20 17:36:28.031,,,CHI,NFC North,5,11,88,726570,15089920,0
5208,15,775553041,Atlanta Falcons,Falcons,,f,,2026-05-20 17:36:28.032,,,ATL,NFC South,,13,84,10685741,0,13
5203,15,775553040,Philadelphia Eagles,Eagles,,f,,2026-05-20 17:36:28.033,,,PHI,NFC East,10,13,84,18513,10660525,12
5206,15,775553024,San Francisco Niners,Niners,,f,,2026-05-20 17:36:28.034,,,SF,NFC West,,13,85,11141120,11506269,14
5207,15,775553053,Los Angeles Rams,Rams,,f,,2026-05-20 17:36:28.034,,,LAR,NFC West,,13,84,13716,16765184,23
5209,15,775553059,Tennessee Titans,Titans,EGB-OG-T,t,1349158444204298358,2026-05-20 17:36:28.02,,,TEN,AFC South,,17,89,4494802,5426,29
5224,15,775553038,Dallas Cowboys,Cowboys,KingUpNextt,t,1037174918896439327,2026-05-20 17:36:28.033,,,DAL,NFC East,,11,83,798338,11581372,10
5204,15,775553043,New York G-Men,G-Men,KAYO 4L,t,792819168461324290,2026-05-20 17:36:28.034,,,NYG,NFC East,2,20,89,74578,10685741,15
5205,15,775553037,Washington Commanders,Commanders,SnakeSozo-,t,954239175400488990,2026-05-20 17:36:28.034,,,WAS,NFC East,8,19,89,5903380,16758290,25
5220,15,775553029,Cleveland Browns,Browns,uhSlump,t,633137901558824960,2026-05-20 17:36:28.016,,,CLE,AFC North,,11,85,16727040,3218688,4
5218,15,775553026,Cincinnati Bengals,Bengals,Kalentheking1,t,1240155951571533924,2026-05-20 17:36:28.015,,,CIN,AFC North,2,20,85,16469780,0,1
5216,15,775553057,Pittsburgh Steelers,Steelers,ITS_LEEK22,t,1037925434123358258,2026-05-20 17:36:28.015,,,PIT,AFC North,1,11,88,15641886,0,28
5198,15,775553045,Jacksonville Jags,Jags,LRICO,t,838230365252485120,2026-05-20 17:36:28.016,,,JAX,AFC South,,12,78,25974,0,16
5214,15,775553056,Seattle Seahawks,Seahawks,,f,,2026-05-20 17:36:28.034,,,SEA,NFC West,3,18,84,5426,6929960,27
5215,15,775553054,Baltimore Ravens,Ravens,xKingNeilx,t,521551549873258506,2026-05-20 17:36:28.015,,,BAL,AFC North,6,18,84,2364255,0,24
5217,15,775553058,Houston Texans,Texans,Smoke 1G4L,t,1361823949847007294,2026-05-20 17:36:28.021,,,HOU,AFC South,,19,87,135192,15401000,31
5221,15,775553036,Indianapolis Colts,Colts,,f,,2026-05-20 17:36:28.021,,,IND,AFC South,10,11,84,78697,16777215,9
5222,15,775553039,Miami Phins,Phins,Csiff0789,t,498875162851147786,2026-05-20 17:36:28.021,,,MIA,AFC East,2,12,81,36503,16534530,11
5226,15,775553046,New York Jets,Jets,,f,,2026-05-20 17:36:28.021,,,NYJ,AFC East,2,14,83,1136448,16777215,17
5229,15,775553051,New England Pats,Pats,,f,,2026-05-20 17:36:28.022,,,NE,AFC East,,13,85,795456,13111342,21
5200,15,775553052,Las Vegas Raiders,Raiders,,f,,2026-05-20 17:36:28.026,,,LV,AFC West,,17,86,10923696,0,22
5211,15,775553028,Denver Broncos,Broncos,NoSpamEJ-_-,t,1219706528794152960,2026-05-20 17:36:28.026,,,DEN,AFC West,,11,85,664387,16534530,3
5213,15,775553035,Kansas City Chiefs,Chiefs,,f,,2026-05-20 17:36:28.027,,,KC,AFC West,10,11,86,14882871,15641886,8
5212,15,775553034,Los Angeles Bolts,Bolts,,f,,2026-05-20 17:36:28.026,,,LAC,AFC West,1,18,86,32966,16761358,7
5219,15,775553047,Detroit Lions,Lions,MrSixInTheBank,t,1422323774224732280,2026-05-20 17:36:28.027,,,DET,NFC North,5,14,86,30390,11581372,18
5227,15,775553049,Green Bay Pack,Pack,Truckman47761,t,1265890423986192416,2026-05-20 17:36:28.031,,,GB,NFC North,,19,84,1846565,15641886,19
5223,15,775553050,Carolina Panthers,Panthers,,f,,2026-05-20 17:36:28.032,,,CAR,NFC South,10,11,83,34255,11711675,20
5225,15,775553055,New Orleans Saints,Saints,,f,,2026-05-20 17:36:28.033,,,NO,NFC South,1,17,83,13876365,0,26
5228,15,775553030,Tampa Bay Bucs,Bucs,,f,,2026-05-20 17:36:28.033,,,TB,NFC South,,17,85,10685741,4078133,5
