id,season_id,detected_at,week_num,transaction_type,player_id,player_name,position,from_team,to_team,from_value,to_value,posted_to_channel
48449,15,2026-05-19 01:25:26.148175,,released,553388311,Drew Sample,TE,Houston Texans,,,,f
48450,15,2026-05-19 01:25:26.148175,,released,553388397,Cody Simon,WILL,Houston Texans,,,,f
48451,15,2026-05-19 01:25:26.148175,,released,553388513,Dante Stills,DT,Houston Texans,,,,f
48485,15,2026-05-19 01:25:26.241241,,released,553386402,Alex Cappa,RG,Tennessee Titans,,,,f
48864,15,2026-05-19 01:25:26.579831,,released,553386139,Ben Bartch,LG,Dallas Cowboys,,,,f
48865,15,2026-05-19 01:25:26.579831,,released,553386992,Jovaughn Gwyn,C,Dallas Cowboys,,,,f
50668,15,2026-05-20 17:36:28.787211,,attr_change,553388041,Micah Parsons,REDGE,Baltimore Ravens,Baltimore Ravens,,conf: 50→49,f
50669,15,2026-05-20 17:36:28.787211,,attr_change,553386229,Nik Bonitto,LEDGE,Baltimore Ravens,Baltimore Ravens,,conf: 50→49,f
50670,15,2026-05-20 17:36:28.787211,,attr_change,553388863,Nate Wiggins,CB,Baltimore Ravens,Baltimore Ravens,,conf: 50→53,f
50671,15,2026-05-20 17:36:28.787211,,attr_change,553386999,Maxwell Hairston,CB,Baltimore Ravens,Baltimore Ravens,,conf: 50→53,f
50672,15,2026-05-20 17:36:28.787211,,attr_change,553388215,Anthony Richardson Sr,QB,Baltimore Ravens,Baltimore Ravens,,conf: 50→56,f
50673,15,2026-05-20 17:36:28.787211,,attr_change,553386603,Dion Dawkins,LT,Baltimore Ravens,Baltimore Ravens,,conf: 50→56,f
50674,15,2026-05-20 17:36:28.787211,,attr_change,553387721,Will McDonald IV,LEDGE,Baltimore Ravens,Baltimore Ravens,,"AWR: 77→78, block Shed: 74→75, FMV: 86→87, play Rec: 72→73, PMV: 76→77, TAK: 77→79",f
50675,15,2026-05-20 17:36:28.787211,,attr_change,553388811,Christian Watson,WR,Baltimore Ravens,Baltimore Ravens,,"AWR: 85→86, b C V: 89→90, conf: 50→47, catch: 94→95, release: 77→78, route Run : 87→89",f
50676,15,2026-05-20 17:36:28.787211,,attr_change,553388194,Justin Reid,SS,Baltimore Ravens,Baltimore Ravens,,conf: 50→51,f
50677,15,2026-05-20 17:36:28.787211,,attr_change,553386515,Austin Corbett,LG,Baltimore Ravens,Baltimore Ravens,,conf: 50→60,f
50678,15,2026-05-20 17:36:28.787211,,attr_change,553388889,Jonah Williams,RT,Baltimore Ravens,Baltimore Ravens,,conf: 50→60,f
50679,15,2026-05-20 17:36:28.787211,,attr_change,553386167,Mekhi Becton Sr,RG,Baltimore Ravens,Baltimore Ravens,,conf: 50→60,f
50680,15,2026-05-20 17:36:28.787211,,attr_change,553386259,Garrett Bradbury,C,Baltimore Ravens,Baltimore Ravens,,conf: 50→56,f
50681,15,2026-05-20 17:36:28.787211,,attr_change,553387871,Darius Muasau,WILL,Baltimore Ravens,Baltimore Ravens,,"AWR: 76→77, man Cover: 61→63, play Rec: 73→74, zone Cover: 76→77",f
50682,15,2026-05-20 17:36:28.787211,,attr_change,553388638,Dont'e Thornton Jr,WR,Baltimore Ravens,Baltimore Ravens,,conf: 50→52,f
50683,15,2026-05-20 17:36:28.787211,,attr_change,553389002,Cade York,K,Baltimore Ravens,Baltimore Ravens,,"AWR: 54→58, kick Acc: 78→83",f
50684,15,2026-05-20 17:36:28.787211,,attr_change,553386546,Devin Culp,TE,Baltimore Ravens,Baltimore Ravens,,"AWR: 69→70, conf: 50→57, c I T: 82→83, RBF: 54→56, RBP: 51→52, release: 69→70, RBK: 54→55, route Run : 56→58, route Run : 56→57, SFA: 65→66",f
50685,15,2026-05-20 17:36:28.787211,,attr_change,553388210,Brenden Rice,WR,Baltimore Ravens,Baltimore Ravens,,"c I T: 79→82, juke Move: 80→81, release: 72→78, route Run : 76→79, route Run : 77→78, route Run : 79→80, spec Catch: 82→83, truck: 45→46",f
50686,15,2026-05-20 17:36:28.787211,,attr_change,553388253,Keilan Robinson,HB,Baltimore Ravens,Baltimore Ravens,,"AWR: 63→64, b C V: 76→78, juke Move: 82→83, SPN: 73→74",f
50687,15,2026-05-20 17:36:28.787211,,attr_change,553386133,Amare Barno,DT,Baltimore Ravens,Baltimore Ravens,,conf: 50→51,f
50688,15,2026-05-20 17:36:28.787211,,attr_change,553388714,Bhayshul Tuten,HB,Baltimore Ravens,Baltimore Ravens,,"AWR: 68→69, BTK: 81→83, conf: 50→99, carry: 86→87, juke Move: 87→90, SPN: 89→91",f
50689,15,2026-05-20 17:36:28.787211,,attr_change,553387967,D'Angelo Ponds,CB,Baltimore Ravens,Baltimore Ravens,,"AWR: 68→69, conf: 50→56, man Cover: 71→76, play Rec: 60→62, PRS: 66→70, TAK: 58→59, zone Cover: 64→65",f
50690,15,2026-05-20 17:36:28.787211,,attr_change,553389372,Charles Woodson,FS,Baltimore Ravens,Baltimore Ravens,,conf: 50→47,f
