id,discord_id,discord_username,season_id,wins,losses,point_differential,updated_at,team,playoff_wins,playoff_losses,superbowl_wins,superbowl_losses,ties
717,792819168461324290,kayo4l,15,1,0,5,2026-05-20 17:36:34.59549,Giants,0,0,0,0,0
718,1361823949847007294,smoke_1g4l,15,1,0,7,2026-05-20 17:36:34.936277,Texans,0,0,0,0,0
719,1037174918896439327,berlinstoejam,15,1,0,16,2026-05-20 17:36:35.285031,Cowboys,0,0,0,0,0
720,1240155951571533924,kingmindset9,15,1,0,12,2026-05-20 17:36:35.742441,Bengals,0,0,0,0,0
721,633137901558824960,slick09145,15,0,1,-12,2026-05-20 17:36:35.858198,Browns,0,0,0,0,0
722,1477612223663706185,reapdolla,15,1,0,15,2026-05-20 17:36:36.490079,Bears,0,0,0,0,0
723,1265890423986192416,truckman1404,15,0,1,-15,2026-05-20 17:36:36.591617,Packers,0,0,0,0,0
724,1143701948915273839,assnsaddiction_42154,15,1,0,11,2026-05-20 17:36:37.24045,Vikings,0,0,0,0,0
725,498875162851147786,.bigtugboat,15,0,1,-11,2026-05-20 17:36:37.362505,Dolphins,0,0,0,0,0
726,1422323774224732280,samuelpatrickhunter,15,1,0,17,2026-05-20 17:36:37.883062,Lions,0,0,0,0,0
727,1349158444204298358,the_biggest_tyme_66873,15,1,0,1,2026-05-20 17:36:38.262871,Titans,0,0,0,0,0
728,1037925434123358258,.leek25,15,0,1,-1,2026-05-20 17:36:38.357657,Steelers,0,0,0,0,0
729,1219706528794152960,nospamej_,15,1,0,34,2026-05-20 17:36:38.933148,Broncos,0,0,0,0,0
730,838230365252485120,lrico,15,0,1,-34,2026-05-20 17:36:39.028034,Jaguars,0,0,0,0,0
731,521551549873258506,xkingneilx,15,1,0,52,2026-05-20 17:36:39.702591,Ravens,0,0,0,0,0
732,954239175400488990,snakesozoipad,15,0,1,-52,2026-05-20 17:36:39.797561,Commanders,0,0,0,0,0
